Game,Affordance,Signifier,Constraint,Mapping,Feedback
Learn to Brace,21,21,19,15,23
Wii Sports,29,29,21,19,27
Le Village aux Oiseaux,29,29,21,15,25
The Sims 2,25,27,23,19,27
Smart Wheel & Train,27,29,21,15,29
Beat Saber,31,31,27,21,29
Moonbase Alpha,43,45,37,33,49
flOw,23,23,21,13,25
Super Mario Bros.,22,22,16,12,24
The Elder Scrolls V: Skyrim,30,32,26,24,34
Smash Hit,23,23,17,17,25
The Legend of Zelda: Ocarina of Time,21,21,17,19,25
Unhcarted 4: Thief's End,31,33,27,25,35
Dead Space,29,31,25,23,33
Ace Combat 7: Skies Unknown,37,39,33,27,45
Among Us VR,46,48,46,32,54
Animation Throwdown: The quest for Cards,37,39,31,19,41
Apex Legends,36,38,30,26,44
Ara Fell: Enhanced Edition,37,39,31,23,41
BlazBlue: Cross Tag Battle,35,37,29,23,39
Bloodstained: Ritual of the night,35,37,31,25,41
Brutal Legend,37,39,31,27,45
Call of Duty: Modern Warfare 2 Campaign Remastered,34,36,28,24,42
Card of Darkness,31,33,25,21,33
Carto,30,32,28,24,38
Castelvania: Dracula X,25,25,19,13,29
Crash Bandicoot N Sane Trilogy,33,35,27,21,37
Crossy Road Castle,39,41,33,25,43
Cuphead,36,38,30,24,40
Dark Souls III,32,34,28,22,34
Darksiders Genesis,34,36,30,26,40
Deep Rock Galactic,37,39,31,27,45
Destiny,28,28,22,20,32
Dream Daddy,27,29,25,15,31
Escape Plan,25,25,19,13,29
Eternal,39,41,33,25,43
F1 Race Stars,35,37,29,23,39
FIFA 20,36,38,30,24,40
Final Fantasy VII: The First Soldier,24,24,18,20,30
Flash Party,31,33,25,21,33
Goonya Monster,35,37,29,23,39
Grand Theft Auto V,40,42,38,30,46
Gravity Rush,27,27,25,23,31
Guild of Dungeoneering,36,38,30,20,44
Gwent: The Witcher Card Game,39,41,33,25,43
Halo 4,27,27,21,15,31
Halo Wars 2,37,39,31,27,45
Halo: Combact Evolved Anniversay,27,27,21,15,31
Helltaker,23,25,19,13,23
Horizon Chase Turbo (ps4 e iphone),36,38,30,26,44
I Am Fish,34,36,28,22,38
Joe Danger 2: The Movie,37,39,31,19,41
Elder Ring,33,35,29,25,39
Kirby and the Rainbow Paintbrush,26,26,22,14,28
Celeste,37,39,29,23,41
LEGO Star Wars: The Skywalker Saga,35,37,29,25,43
Little Dragons Cafe,30,32,28,16,34
God of War,31,33,27,23,37
Marvel Avengers,35,37,29,23,39
Clash Royale,25,25,19,15,27
Metal Gear Solid: Peace Walker HD,29,29,23,23,37
Metal Slug: 1st&2nd Mission,29,29,23,19,33
Meteorfall: Krumit's Tale,24,26,20,14,28
Overcooked,36,38,30,24,40
Overcooked 2,36,38,30,24,40
Overcooked! All You Can Eat,36,38,30,24,40
PictoQuest,36,38,30,18,40
PixelJunkShooter Ultimate,38,40,32,24,42
Planet Zoo,21,23,19,17,23
Plants vs. Zombies: Battle for Neighborville,36,38,30,26,44
Pokémon Conquest,30,30,24,24,36
Ratchet & Clank: Rift Apart,30,32,26,20,32
Resident Evil 7: Biohazard,33,35,29,25,39
Royal match,21,21,17,13,25
Sleeping Dogs,35,37,29,25,43
Slime Rancher 2,32,34,28,22,34
Snake Pass,37,39,31,23,41
Sonic Adventure 2,33,35,27,17,37
Spyder,31,33,25,21,33
SSX,28,28,22,20,32
State of Decay 2,35,37,31,27,41
Super Brawl Universe,22,22,16,12,24
Super Monkey Ball: Banana Blitz HD,40,42,34,28,48
SUPER UFO FIGHTER,37,39,31,19,41
Sword Art Online: Fatal Bullet,36,38,30,26,44
The Ascent,33,35,29,23,35
The Elder Scrolls: Blades,30,30,24,16,34
The Elder Scrolls: Legends,31,33,25,17,33
The Enchanted World,30,32,26,16,32
The Legend of Tianding,38,40,32,26,46
The Legend of Zelda: Majora's Mask 3D,24,24,20,20,28
The Sims Mobile,22,22,18,14,26
The Witcher 2: Assassins of Kings,24,26,20,20,28
Theatrhythm Final Fantasy: Curtain Call,27,27,21,15,29
Tinykin,34,36,30,22,36
Towaga: Among Shadows,38,40,32,24,42
Uncharted: The Nathan Drake Collection,23,23,19,17,25
Unpacking,33,35,31,23,37
Unrailed!,38,40,32,24,42
Watch Dogs: Legion,34,36,30,26,40
Where The Water Tastes Like Wine,38,40,32,26,46
