"Games","Affordance","Signifier","Constraint","Mapping","Feedback","Year","Cluster"
"Learn to Brace",21,21,19,15,23,2014,0
"Wii Sports",29,29,21,19,27,2006,0
"Le Village aux Oiseaux",29,29,21,15,25,2011,0
"The Sims 2",25,27,23,19,27,2004,0
"Smart Wheel & Train",27,29,21,15,29,2018,0
"Beat Saber",31,31,27,21,29,2018,0
"flOw",23,23,21,13,25,2007,0
"Super Mario Bros.",22,22,16,12,24,1983,0
"Smash Hit",23,23,17,17,25,2014,0
"The Legend of Zelda: Ocarina of Time",21,21,17,19,25,1998,0
"Dead Space",29,31,25,23,33,2008,0
"Card of Darkness",31,33,25,21,33,2019,0
"Castelvania: Dracula X",25,25,19,13,29,1995,0
"Destiny",28,28,22,20,32,2014,0
"Dream Daddy",27,29,25,15,31,2017,0
"Escape Plan",25,25,19,13,29,2012,0
"Final Fantasy VII: The First Soldier",24,24,18,20,30,2021,0
"Flash Party",31,33,25,21,33,2021,0
"Gravity Rush",27,27,25,23,31,2016,0
"Halo 4",27,27,21,15,31,2012,0
"Halo: Combact Evolved Anniversay",27,27,21,15,31,2011,0
"Helltaker",23,25,19,13,23,2020,0
"Kirby and the Rainbow Paintbrush",26,26,22,14,28,2015,0
"Little Dragons Cafe",30,32,28,16,34,2018,0
"Clash Royale",25,25,19,15,27,2016,0
"Metal Gear Solid: Peace Walker HD",29,29,23,23,37,2011,0
"Metal Slug: 1st&2nd Mission",29,29,23,19,33,1999,0
"Meteorfall: Krumit's Tale",24,26,20,14,28,2020,0
"Planet Zoo",21,23,19,17,23,2019,0
"Pokémon Conquest",30,30,24,24,36,2012,0
"Ratchet & Clank: Rift Apart",30,32,26,20,32,2021,0
"Royal match",21,21,17,13,25,2021,0
"Spyder",31,33,25,21,33,2020,0
"SSX",28,28,22,20,32,2012,0
"Super Brawl Universe",22,22,16,12,24,2021,0
"The Elder Scrolls: Blades",30,30,24,16,34,2019,0
"The Elder Scrolls: Legends",31,33,25,17,33,2017,0
"The Enchanted World",30,32,26,16,32,2019,0
"The Legend of Zelda: Majora's Mask 3D",24,24,20,20,28,2015,0
"The Sims Mobile",22,22,18,14,26,2018,0
"The Witcher 2: Assassins of Kings",24,26,20,20,28,2011,0
"Theatrhythm Final Fantasy: Curtain Call",27,27,21,15,29,2014,0
"Uncharted: The Nathan Drake Collection",23,23,19,17,25,2015,0
"Centroid0","26,41","27,14","21,59","17,36","29,23",,0
"Moonbase Alpha",43,45,37,33,49,2010,1
"The Elder Scrolls V: Skyrim",30,32,26,24,34,2011,1
"Unhcarted 4: Thief's End",31,33,27,25,35,2016,1
"Ace Combat 7: Skies Unknown",37,39,33,27,45,2019,1
"Among Us VR",46,48,46,32,54,2022,1
"Animation Throwdown: The quest for Cards",37,39,31,19,41,2016,1
"Apex Legends",36,38,30,26,44,2019,1
"Ara Fell: Enhanced Edition",37,39,31,23,41,2020,1
"BlazBlue: Cross Tag Battle",35,37,29,23,39,2018,1
"Bloodstained: Ritual of the night",35,37,31,25,41,2019,1
"Brutal Legend",37,39,31,27,45,2009,1
"Call of Duty: Modern Warfare 2 Campaign Remastered",34,36,28,24,42,2020,1
"Carto",30,32,28,24,38,2020,1
"Crash Bandicoot N Sane Trilogy",33,35,27,21,37,2017,1
"Crossy Road Castle",39,41,33,25,43,2020,1
"Cuphead",36,38,30,24,40,2017,1
"Dark Souls III",32,34,28,22,34,2016,1
"Darksiders Genesis",34,36,30,26,40,2019,1
"Deep Rock Galactic",37,39,31,27,45,2018,1
"Eternal",39,41,33,25,43,1995,1
"F1 Race Stars",35,37,29,23,39,2012,1
"FIFA 20",36,38,30,24,40,2019,1
"Goonya Monster",35,37,29,23,39,2022,1
"Grand Theft Auto V",40,42,38,30,46,2013,1
"Guild of Dungeoneering",36,38,30,20,44,2015,1
"Gwent: The Witcher Card Game",39,41,33,25,43,2017,1
"Halo Wars 2",37,39,31,27,45,2017,1
"Horizon Chase Turbo (ps4 e iphone)",36,38,30,26,44,2018,1
"I Am Fish",34,36,28,22,38,2021,1
"Joe Danger 2: The Movie",37,39,31,19,41,2012,1
"Elder Ring",33,35,29,25,39,2022,1
"Celeste",37,39,29,23,41,2018,1
"LEGO Star Wars: The Skywalker Saga",35,37,29,25,43,2022,1
"God of War",31,33,27,23,37,2005,1
"Marvel Avengers",35,37,29,23,39,2020,1
"Overcooked",36,38,30,24,40,2016,1
"Overcooked 2",36,38,30,24,40,2018,1
"Overcooked! All You Can Eat",36,38,30,24,40,2020,1
"PictoQuest",36,38,30,18,40,2019,1
"PixelJunkShooter Ultimate",38,40,32,24,42,2014,1
"Plants vs. Zombies: Battle for Neighborville",36,38,30,26,44,2019,1
"Resident Evil 7: Biohazard",33,35,29,25,39,2017,1
"Sleeping Dogs",35,37,29,25,43,2012,1
"Slime Rancher 2",32,34,28,22,34,2022,1
"Snake Pass",37,39,31,23,41,2017,1
"Sonic Adventure 2",33,35,27,17,37,2001,1
"State of Decay 2",35,37,31,27,41,2018,1
"Super Monkey Ball: Banana Blitz HD",40,42,34,28,48,2019,1
"SUPER UFO FIGHTER",37,39,31,19,41,2022,1
"Sword Art Online: Fatal Bullet",36,38,30,26,44,2018,1
"The Ascent",33,35,29,23,35,2021,1
"The Legend of Tianding",38,40,32,26,46,2021,1
"Tinykin",34,36,30,22,36,2022,1
"Towaga: Among Shadows",38,40,32,24,42,2019,1
"Unpacking",33,35,31,23,37,2021,1
"Unrailed!",38,40,32,24,42,2019,1
"Watch Dogs: Legion",34,36,30,26,40,2020,1
"Where The Water Tastes Like Wine",38,40,32,26,46,2018,1
"Centroid1","35,89","37,89","30,63","24,25","41,26",,1
